"(G10010) Gridded Monthly Sea Ice Extent and Concentration, 1850 Onward, Version 2  - Daily Ice Area by Region in Square Kilometers on the 15th of each month",,,,,,,,,,,,,,,,,
YYYYDDD,Northern_Hemisphere,Beaufort_Sea,Chukchi_Sea,East_Siberian_Sea,Laptev_Sea,Kara_Sea,Barents_Sea,Greenland_Sea,Baffin_Bay_Gulf_of_St._Lawrence,Canadian_Archipelago,Hudson_Bay,Central_Arctic,Bering_Sea,Baltic_Sea,Sea_of_Okhotsk,Yellow_Sea,Cook_Inlet
RegnArea,64469952.54,1061907.23,958779.67,1085864.77,892614.79,937165.12,1647909.99,3359950.91,3990207.4,867128.1,1267354.07,3216316.32,2804270.43,523051.01,2186062.69,433877.64,570036.2
1850015,13715065.58,1054972.52,956424.76,1083181.9,885863.55,922236.6,796328.16,746727.85,1017676.08,855466.45,1233400.56,3190139.01,456635.65,48055.18,467892.37,0,0
1850046,14162269.94,1058380.73,956307.19,1085483.17,886233.15,901062.8,703963.77,762050.48,1328424.07,855319.13,1255999.38,3191448.32,567413.67,83515.1,526565.07,0,38.98
1850074,14583188.93,1060922.05,956847.83,1085704.88,886785.74,920942.03,727954.66,866838.06,1411812.91,860995.12,1257995.18,3207349.13,722771.74,74873.05,541171.28,0,159.65
1850105,14154404.36,1060044.23,957819.03,1085499.64,886248.07,927851.85,957377.29,773514.7,1138324.05,857279.08,1229570.93,3208487.16,548865.43,59884.93,463572.36,0,0
1850135,13375682.42,1034511.68,935133.07,1069951.64,871508.99,908715.43,645113.67,812850.95,1026866.33,836441.67,1128894.99,3199213.22,596278.83,25651.65,284485.34,0,0
1850166,11750141.23,1001250.54,875498.53,1080624.14,867276.78,723491.88,500385.68,582598.85,861701.1,789553.35,961583.48,3171173.71,244581.3,0,90360.24,0,0
1850196,10036394.2,954059.08,787747.86,1059634.59,808984.11,723386.61,178796.49,356843.06,558326.3,800178.46,612488.76,3168960.79,20530.32,0,6392.17,0,0
1850227,6617405.76,765098.85,523872.39,656350.57,437444.44,343196.67,94340.26,212525.32,120322.19,478288.19,111134.18,2843685.15,26888.61,0,4201.22,0,0
1850258,6929725.27,830156.58,578375.3,721910.25,501324.35,296195.46,87839.33,292229.45,64326.27,510044.73,38330.31,3008930.91,0,0,0,0,0
1850288,7509389.03,790677.6,430979.15,820453.8,750355.34,511873.54,156040.82,270942.84,166114.67,616301.49,89001.06,2886450.96,11717.06,2801.81,5619.2,0,0
1850319,10520288.61,1036935.57,855434.74,1068829.48,870644.98,775688.8,328081.9,499388.16,527426.63,808691.27,444305.31,3153529.51,97734.32,2010.14,51523.51,0,0
1850349,12113190.73,1049546.51,936189.81,1083506.69,879381.84,871055.8,514195.04,547862.73,827226.63,835567.36,950519.8,3153960.15,314541.13,14899.54,134674.08,0,0
1851015,14299858.75,1060273.31,956010.6,1083201.97,890497.63,932221.08,771911.09,727399.34,1250714.2,863184.27,1262835.47,3200991.46,615410.32,64612.91,620124.98,0,0
1851046,15246057.51,1057957.03,957022.07,1082862.54,891711.18,934930.26,893203.37,793753.45,1666617.08,855193.18,1263443.88,3204666.79,711175.47,145070.08,787252.1,0,0
1851074,15192234.07,1060115.25,958044.51,1085421.11,890890.42,930638.24,811373.58,754484.4,1636180.98,856647.87,1263996.14,3196688.79,675535.76,112503.91,959211.59,0,0
1851105,13962202.21,1058415.51,957133.46,1085139.33,886186.61,919961.56,854690.49,731711.22,1139568.09,856167.48,1222662.67,3202379.19,543176.15,67054.5,437890.34,0,0
1851135,13308815.34,1060145.55,940394.39,1084268.43,888380.57,919862.98,857662.18,592785.15,1066732.24,860511.09,1179583.6,3204239.04,392775.65,20744.17,240664.71,0,0
1851166,11721460.2,911431.78,880090.97,1055972.66,841080.68,882357.24,598336.63,552025.21,824819.65,766909.5,940266.89,3200702.62,206333.41,250.16,60817.21,0,0
1851196,9434431.72,913967.17,694853.54,956558.31,695893.66,606224.55,277944.64,472761.91,378011.91,645439.46,447533,3109743.97,172933.74,0,62500.26,0,0
1851227,8054307.34,848585.43,589030.28,906655.99,596106.94,400028.35,174066.19,462080.98,165503.85,563487.88,140160.56,3136606.36,56378.89,0,15550.06,0,0
1851258,7083403.37,802932.96,597683.52,813569.56,487790.8,240408.47,98198.4,373669.11,90470.23,524111.45,43296.43,3009656.26,1553.86,0,0,0,0
1851288,7109131.66,750509.3,378732.6,705834.27,686946.1,462913.91,145997.63,276174.99,133231.72,601474.63,86110.92,2857410.3,13703.87,3455.08,6576.65,0,0
1851319,10927473.03,1059530.59,812621.41,1085080.75,891948.37,887930.22,435465.34,464800.9,652734.1,861056.19,485895.85,3177474.32,83259.4,0,29581.69,0,0
1851349,12926492.14,1059895.35,956700.68,1083218.91,890241.58,929816.12,642803.81,538147.74,940434.83,861206.72,1135582.24,3195969.43,405777.29,32954.7,253573.87,0,103.94
1852015,14451361.76,1056114.36,955188.12,1084608.22,890937.17,932528.06,692681.58,583906.99,1760619.05,859920.44,1265242.86,3193396.46,496254.65,51493.64,628370.09,0,0
1852046,15325776.09,1056616.83,957426.43,1085156.32,891625.8,922497.47,692799.9,660559.51,1987180.08,857319.11,1265333.62,3198010.29,781744.26,105812.84,862657.96,0,0
1852075,15559974.64,1059233.1,956156.47,1085015.8,890170.58,935096.87,845916.93,706418.91,1896321.39,855233.12,1265913.34,3203272.28,763691.53,109379.99,987523.66,0,0
1852106,14292002.02,1061405.46,958210.66,1084055.31,887938,900680.25,732676.97,616633.73,1502750.88,858886.84,1236388.15,3198269.68,635270.37,67481.66,551288.46,0,0
1852136,13389782.99,1037076.92,948353.56,1085355.45,884573.22,915037.87,750060.43,672262.59,1071301.95,801486.03,1159821.82,3184063.72,674510.36,5185.89,200627.57,0,0
1852167,12190511.01,1026582.38,894722.42,1082956.74,874912.86,883065.62,605908.69,571338.07,863005.1,785715.91,990254.06,3193740.59,338181.6,0,80061.37,0,0
1852197,9891192.56,885167.19,824669.8,1046930.83,755031.94,720870.94,273607.27,397005.02,455841.55,749548.19,518607.52,3169953.1,89047,0,4846.61,0,0
1852228,8211792.55,863147.87,703003.54,909301.57,606782.42,404077.95,170947.79,479582.04,166432.35,569091.2,141414.33,3152085.08,30433.27,0,15427.55,0,0
1852259,7364059.84,885425.37,601335.29,824966.05,561123.96,289105.55,83501.87,328003.18,78691.05,546164.09,42042.21,3123635.62,0,0,0,0,0
1852289,7375447.06,885425.37,612439.22,825249.34,561123.96,289105.55,83501.87,328003.18,78691.05,546164.09,42042.21,3123635.62,0,0,0,0,0
1852320,10660513.89,1059071.35,911518.13,1085532.35,891615.78,795997.57,334872.1,448102.08,536099.7,861481.79,426709.55,3180824.28,107391.34,0,21232.28,0,0
1852350,12605803.9,1060476.58,954301.19,1085127.33,890647.88,888318.53,504504.31,607648.59,782931.33,861789.15,1149229.9,3189450.64,286644.37,32473.97,312194.55,0,0
1853015,14460615.33,1058304.13,954143.07,1084892.65,888422.14,934198.94,782023.1,578685.43,1462137.5,857207.92,1265290.92,3194368.65,650245.5,56371.92,694224.05,0,0
1853046,15244025.21,1055852.68,956121.52,1083984.1,889564.22,931979.57,787141.67,647346.62,1806654.29,857016.73,1264313.5,3201108.15,753715.23,129808.2,878296.25,0,0
1853074,14416218.7,1052964.9,951043.63,1083471.7,882207.28,915568.25,790268.11,772766.09,1305448.94,854634.85,1245387.93,3205349.74,746198.84,78611.67,532179.2,0,51.97
1853105,14317447.8,1060365.56,957182.91,1085387.68,886019.28,919563.1,968202.04,804968.63,1220002.54,857285.74,1251196.93,3210904.96,519413.37,40396.45,536493,0,0
