"(G10010) Gridded Monthly Sea Ice Extent and Concentration, 1850 Onward, Version 2 - Daily Ice Extent by Region in Square Kilometers on the 15th of each month",,,,,,,,,,,,,,,,,
YYYYDDD,Northern_Hemisphere,Beaufort_Sea,Chukchi_Sea,East_Siberian_Sea,Laptev_Sea,Kara_Sea,Barents_Sea,Greenland_Sea,Baffin_Bay_Gulf_of_St._Lawrence,Canadian_Archipelago,Hudson_Bay,Central_Arctic,Bering_Sea,Baltic_Sea,Sea_of_Okhotsk,Yellow_Sea,Cook_Inlet
RegnArea,64469952.54,1061907.23,958779.67,1085864.77,892614.79,937165.12,1647909.99,3359950.91,3990207.4,867128.1,1267354.07,3216316.32,2804270.43,523051.01,2186062.69,433877.64,570036.2
1850015,15563301.05,1061907.23,958779.67,1085864.77,888444.52,925300.08,1104845.81,1233119.01,1356253.67,863449.97,1266116.68,3215959.05,758934.43,134403.73,709856.83,0,0
1850046,16258351.82,1061907.23,958779.67,1085864.77,888879.76,925237.15,1070872.44,1291331.69,1816984.19,863327.56,1265801.17,3215959.05,891219.49,178247.7,743874.35,0,0
1850074,16497991.84,1061907.23,958779.67,1085864.77,888012.52,925237.15,1020670.95,1354519.65,1870649.82,863327.56,1265801.17,3215959.05,1076875.93,163969.87,746350.9,0,0
1850105,16065016.34,1061907.23,958779.67,1085864.77,888012.52,929222.72,1295707.36,1269971.38,1520766.05,863327.56,1265801.17,3215959.05,826977.76,140133.52,742519.98,0,0
1850135,15749905.61,1061907.23,958779.67,1085864.77,888012.52,929222.72,1034919.26,1284248.9,1458619.54,863327.56,1265801.17,3215959.05,982010.67,67683.89,653483.05,0,0
1850166,14048352.1,1061907.23,958779.67,1085864.77,887791.67,925237.15,770190.68,980686.41,1267824.73,863327.56,1266116.68,3215959.05,486504.92,0,278095.98,0,0
1850196,12142908.95,1061635.32,911662.71,1085864.77,891737.87,930244.42,448234.13,581670.49,885914.1,864139.06,1199409.88,3214343.9,47553.31,0,20433.41,0,0
1850227,9598168.57,1006261.84,743091.46,1074924.79,851634.27,619439.89,272686.66,458341.22,312549.19,757548.37,217921.45,3215959.05,61940.34,0,5804.44,0,0
1850258,9187808.09,1061907.23,768271.13,1043199.44,799585.04,532253.25,227062.8,531500.63,136851.26,723696.83,149147.16,3214267.72,0,0,0,0,0
1850288,10478387.97,1061907.23,801396.38,1085864.77,892614.79,804899.43,389925.24,475643.31,517764.97,863327.56,310036.4,3215959.05,33602.76,7760.28,17620.21,0,0
1850319,12755979.18,1061907.23,958779.67,1085864.77,888879.76,925237.15,593730.28,863417.73,800273.6,863327.56,1107777.15,3215959.05,267584.35,0,123175.29,0,0
1850349,14142341.95,1061907.23,958779.67,1085864.77,892614.79,925237.15,839228.55,901392.96,1114416.75,863327.56,1265801.17,3215959.05,601156.07,35599.82,380990.79,0,0
1851015,15532723.43,1061907.23,958779.67,1085864.77,892614.79,937165.12,961108.4,962720.96,1516656.22,866979.16,1267354.07,3216316.32,771055.87,127917.54,906217.72,0,0
1851046,16604945.6,1061363.42,958779.67,1085864.77,892614.79,937165.12,1082696.99,1043622.67,2010540.78,864497.59,1267354.07,3216316.32,909120.02,222905.04,1049709.8,0,0
1851074,16609378.87,1061363.42,958779.67,1085864.77,892614.79,937165.12,998011.19,1057471.36,2025301.73,864497.59,1267354.07,3216316.32,852583.54,200729.08,1190672.32,0,0
1851105,16061410.74,1061907.23,958779.67,1085864.77,888012.52,929222.72,1248414.79,1221316.94,1524007.25,863327.56,1265801.17,3215959.05,915331.62,144386.5,739013.35,0,0
1851135,15139204.87,1061635.32,958779.67,1085864.77,891737.87,932007.76,1198015.59,848254.57,1436963.8,865373.4,1267044.72,3215270.56,777047.72,79241.72,521901.8,0,0
1851166,13591326.7,1040892.88,952542.61,1085864.77,891737.87,933047.67,900749.85,772683.84,1129167.42,865373.4,1267044.72,3216197.23,412690.1,0,123268.75,0,0
1851196,12853282.28,1061907.23,830115.61,1085864.77,887148.51,914732.04,549858.94,947567.69,887346.51,837477.36,1147666.57,3215959.05,296003.88,0,191568.52,0,0
1851227,10542661.26,1054527.45,715796.22,1085324.11,872637.21,754266.96,397085.84,872638.5,423103.52,780995.84,251769.06,3215959.05,86908.61,0,31583.28,0,0
1851258,9475322.25,1023130.95,728106.57,1079155.49,805991.18,500382.19,284059.6,679449.65,204699.46,782814.32,167914.27,3214406.73,5146.23,0,0,0,0
1851288,10097047.07,1059489.91,683243.43,1085864.77,892614.79,805859.68,371306.45,470332.32,292725.52,863327.56,288863.61,3215959.05,38151.24,11622.94,17620.21,0,0
1851319,11965318.8,1061363.42,956629.71,1085864.77,892614.79,937165.12,613113.6,580811.64,767316.74,864497.59,713328.57,3212980.26,175471.83,0,104095.17,0,0
1851349,14219147.3,1061363.42,958779.67,1085864.77,892614.79,937165.12,877756.96,674560.74,1154378.33,864497.59,1267354.07,3216316.32,644269.93,109348.87,474811.11,0,0
1852015,15819124.35,1061363.42,958779.67,1085864.77,892614.79,937165.12,883659.27,790458.72,2093265.63,864497.59,1267354.07,3213840.91,718949.41,103461.43,947783.94,0,0
1852046,16736907.76,1061363.42,958779.67,1085864.77,892614.79,937165.12,858136.96,933034.23,2288395.88,864497.59,1267354.07,3216316.32,935099.16,187719.76,1248757.59,0,0
1852075,17009469.55,1061363.42,958779.67,1085864.77,892614.79,937165.12,1009140.32,994713.38,2235039.66,864497.59,1267354.07,3216316.32,963774.86,211583.47,1310608.22,0,0
1852106,15490892.92,1061635.32,958779.67,1085864.77,891737.87,933047.67,987240.89,771479.12,1764028.96,865373.4,1266729.21,3216197.23,817960.82,167471.33,703281.06,0,0
1852136,15717377.97,1061907.23,958779.67,1085864.77,887574.05,924993.82,1204110.46,1144416.03,1480912.51,863327.56,1265801.17,3215959.05,1117551.43,26875.02,479239.6,0,0
1852167,14401205.14,1061907.23,956729.01,1085864.77,887791.67,924381.3,1045673.17,940404.4,1268255.54,863081.03,1266116.68,3215611.77,674171.84,0,211151.13,0,0
1852197,12226697.41,1045485.18,917897.98,1085864.77,884311.91,930561.05,498365.85,617257.91,783322.76,862231.42,1177261.27,3216197.23,192650.13,0,15224.35,0,0
1852228,10753773.75,1061907.23,909827.41,1085864.77,875560.41,757154.57,392546.64,884404.81,427941.1,781692.51,254402.19,3215959.05,71987.26,0,34460.21,0,0
1852259,9448755.57,1061907.23,759581.77,1079254.79,820891.14,595593.07,214878.28,601086.93,176898.97,766319.38,158149.71,3214128.71,0,0,0,0,0
1852289,9467358.13,1061907.23,777365.46,1080073.66,820891.14,595593.07,214878.28,601086.93,176898.97,766319.38,158149.71,3214128.71,0,0,0,0,0
1852320,11747989.34,1061363.42,958779.67,1085864.77,892614.79,915100.11,530342.11,554839.57,639608.16,864497.59,726744.02,3216316.32,244662.73,0,57190.48,0,0
1852350,13961417.87,1061363.42,958779.67,1085864.77,892614.79,937165.12,772860.12,843527.42,884492.79,864497.59,1267354.07,3216316.32,531647,112413.47,532455.71,0,0
1853015,15614072.64,1061363.42,958779.67,1085864.77,892614.79,937165.12,926679.01,759101.15,1771349.13,864497.59,1267354.07,3216316.32,792889.09,109779.71,970253.21,0,0
1853046,16585731.47,1061363.42,958779.67,1085864.77,892614.79,937165.12,970161.48,877561.69,2117098.6,864497.59,1267354.07,3216316.32,932093.1,236240,1166812.43,0,0
1853074,16439686.24,1061907.23,958779.67,1085864.77,887794.9,925237.15,1095481.76,1252685.49,1713294.64,863327.56,1265801.17,3215959.05,1198097.19,174725.62,740664.43,0,0
1853105,16309046.63,1061907.23,958779.67,1085864.77,888012.52,925237.15,1304240.79,1292253.17,1664979.81,863327.56,1265801.17,3215959.05,911835.26,118550.72,752232.16,0,0
1853135,16126923.77,1061907.23,958779.67,1085864.77,888012.52,925237.15,1122251.07,1258561.14,1415735.63,863327.56,1266116.68,3215959.05,1306671.63,76469.27,681964.79,0,0
1853166,14453898.4,1061907.23,940613.37,1085864.77,888012.52,925237.15,811461.84,996505.77,1296079.63,863327.56,1266116.68,3215959.05,832663.61,0,270083.63,0,0
1853196,12957061.38,1061907.23,860845.8,1085864.77,887148.51,914147.47,564157.08,1011772.53,904211.45,840715.85,1142640.48,3215959.05,239082.12,0,228543.44,0,0
1853227,11115233.13,1061635.32,835348.04,1081324.43,858889.11,803807.67,457638.55,724278.15,744997.4,853668.87,426742.67,3215959.05,50878.28,0,0,0,0
1853258,9512682.65,1028231.65,758252.57,1059159.81,885436.68,460787.29,277215.37,466663.25,283357.33,850062.33,206508.75,3212228.95,24713.07,0,0,0,0
1853288,10406938.79,1061907.23,859734.01,1085864.77,892614.79,797621.29,361365.7,475644.81,530001.96,862812.22,236250.15,3215959.05,15432.32,0,11664.87,0,0
1853319,11768572.24,1061363.42,954516.87,1085864.77,892614.79,937165.12,573947.62,625977.67,786278.81,864497.59,602792.82,3212980.26,170506.92,0,0,0,0
1853349,14081379.04,1061363.42,958779.67,1085864.77,892614.79,937165.12,726036.77,913453.58,1126903.22,864497.59,1267354.07,3216316.32,643038.41,30787.57,357138.14,0,0
1854015,15614072.64,1061363.42,958779.67,1085864.77,892614.79,937165.12,926679.01,759101.15,1771349.13,864497.59,1267354.07,3216316.32,792889.09,109779.71,970253.21,0,0
1854046,16585731.47,1061363.42,958779.67,1085864.77,892614.79,937165.12,970161.48,877561.69,2117098.6,864497.59,1267354.07,3216316.32,932093.1,236240,1166812.43,0,0
